station,line,product,direction,planned_when,actual_when,delay_seconds
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-03T23:40:00+02:00,2026-08-03T23:40:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T23:36:00+02:00,2026-08-03T23:41:00+02:00,300.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-03T23:40:00+02:00,2026-08-03T23:41:00+02:00,60.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T23:41:00+02:00,2026-08-03T23:42:00+02:00,60.0
alexanderplatz,S9,suburban,Flughafen BER,2026-08-03T23:42:00+02:00,2026-08-03T23:42:00+02:00,0.0
alexanderplatz,M2,tram,Am Steinberg,2026-08-03T23:42:00+02:00,2026-08-03T23:42:00+02:00,0.0
alexanderplatz,S9,suburban,S Spandau Bhf (Berlin),2026-08-03T23:43:00+02:00,2026-08-03T23:43:00+02:00,0.0
alexanderplatz,100,bus,S+U Zoologischer Garten via Reichstag,2026-08-03T23:43:00+02:00,2026-08-03T23:43:00+02:00,0.0
alexanderplatz,S7,suburban,S Ahrensfelde Bhf (Berlin),2026-08-03T23:45:00+02:00,2026-08-03T23:45:00+02:00,0.0
alexanderplatz,M4,tram,Falkenberg,2026-08-03T23:45:00+02:00,2026-08-03T23:45:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T23:46:00+02:00,2026-08-03T23:46:00+02:00,0.0
alexanderplatz,S5,suburban,S Strausberg Nord,2026-08-03T23:47:00+02:00,2026-08-03T23:47:00+02:00,0.0
alexanderplatz,M6,tram,"Hellersdorf, Riesaer Str.",2026-08-03T23:47:00+02:00,2026-08-03T23:47:00+02:00,0.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-03T23:47:00+02:00,2026-08-03T23:47:00+02:00,0.0
alexanderplatz,S5,suburban,S Westkreuz (Berlin),2026-08-03T23:48:00+02:00,2026-08-03T23:48:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T23:48:00+02:00,2026-08-03T23:48:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T23:48:00+02:00,2026-08-03T23:48:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-03T23:49:00+02:00,2026-08-03T23:49:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-03T23:50:00+02:00,2026-08-03T23:50:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-03T23:50:00+02:00,2026-08-03T23:50:00+02:00,0.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-03T23:50:00+02:00,2026-08-03T23:50:00+02:00,0.0
alexanderplatz,200,bus,"Prenzlauer Berg, Michelangelostr.",2026-08-03T23:50:00+02:00,2026-08-03T23:51:00+02:00,60.0
alexanderplatz,100,bus,"Mitte, Memhardstr.",2026-08-03T23:51:00+02:00,2026-08-03T23:51:00+02:00,0.0
alexanderplatz,M6,tram,"Mitte, Am Kupfergraben",2026-08-03T23:40:00+02:00,2026-08-03T23:52:00+02:00,720.0
alexanderplatz,S3,suburban,S Erkner Bhf,2026-08-03T23:52:00+02:00,2026-08-03T23:52:00+02:00,0.0
alexanderplatz,M2,tram,Heinersdorf,2026-08-03T23:52:00+02:00,2026-08-03T23:52:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:52:00+02:00,2026-08-03T23:52:00+02:00,0.0
alexanderplatz,M5,tram,S+U Hauptbahnhof,2026-08-03T23:50:00+02:00,2026-08-03T23:53:00+02:00,180.0
alexanderplatz,S3,suburban,S Grunewald (Berlin),2026-08-03T23:55:00+02:00,2026-08-03T23:55:00+02:00,0.0
alexanderplatz,300,bus,"Tiergarten, Philharmonie",2026-08-03T23:55:00+02:00,2026-08-03T23:55:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-03T23:55:00+02:00,2026-08-03T23:55:00+02:00,0.0
alexanderplatz,248,bus,S Südkreuz,2026-08-03T23:56:00+02:00,2026-08-03T23:56:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-03T23:56:00+02:00,2026-08-03T23:56:00+02:00,0.0
alexanderplatz,300,bus,S+U Warschauer Str.,2026-08-03T23:57:00+02:00,2026-08-03T23:57:00+02:00,0.0
alexanderplatz,M5,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:57:00+02:00,2026-08-03T23:57:00+02:00,0.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-03T23:57:00+02:00,2026-08-03T23:57:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-03T23:58:00+02:00,2026-08-03T23:58:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-03T23:59:00+02:00,2026-08-03T23:59:00+02:00,0.0
alexanderplatz,M4,tram,"Hohenschönhausen, Zingster Str.",2026-08-03T23:59:00+02:00,2026-08-03T23:59:00+02:00,0.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-04T00:00:00+02:00,2026-08-04T00:00:00+02:00,0.0
alexanderplatz,200,bus,S+U Zoologischer Garten via Potsdamer Platz,2026-08-04T00:00:00+02:00,2026-08-04T00:00:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-04T00:00:00+02:00,2026-08-04T00:00:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-04T00:00:00+02:00,2026-08-04T00:00:00+02:00,0.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-04T00:00:00+02:00,2026-08-04T00:00:00+02:00,0.0
alexanderplatz,M6,tram,"Mitte, Am Kupfergraben",2026-08-04T00:00:00+02:00,2026-08-04T00:01:00+02:00,60.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T00:01:00+02:00,2026-08-04T00:01:00+02:00,0.0
alexanderplatz,300,bus,S+U Warschauer Str.,2026-08-04T00:37:00+02:00,2026-08-04T00:35:00+02:00,-120.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-04T00:36:00+02:00,2026-08-04T00:36:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T00:37:00+02:00,2026-08-04T00:36:00+02:00,-60.0
alexanderplatz,U8,subway,Wittenau,2026-08-04T00:38:00+02:00,2026-08-04T00:36:00+02:00,-120.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-04T00:37:00+02:00,2026-08-04T00:37:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung U Ruhleben,2026-08-04T00:37:00+02:00,2026-08-04T00:37:00+02:00,0.0
alexanderplatz,M4,tram,Falkenberg,2026-08-04T00:38:00+02:00,2026-08-04T00:38:00+02:00,0.0
alexanderplatz,U8,subway,Hermannstraße,2026-08-04T00:40:00+02:00,2026-08-04T00:39:00+02:00,-60.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-04T00:39:00+02:00,2026-08-04T00:40:00+02:00,60.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-04T00:40:00+02:00,2026-08-04T00:40:00+02:00,0.0
alexanderplatz,U2,bus,Ersatzverkehr Richtung S+U Pankow,2026-08-04T00:40:00+02:00,2026-08-04T00:40:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-04T00:40:00+02:00,2026-08-04T00:40:00+02:00,0.0
alexanderplatz,S9,suburban,Flughafen BER,2026-08-04T00:42:00+02:00,2026-08-04T00:42:00+02:00,0.0
alexanderplatz,S9,suburban,S Westkreuz (Berlin),2026-08-04T00:43:00+02:00,2026-08-04T00:44:00+02:00,60.0
alexanderplatz,M5,tram,S Hackescher Markt,2026-08-04T00:41:00+02:00,2026-08-04T00:45:00+02:00,240.0
alexanderplatz,S7,suburban,S Ahrensfelde Bhf (Berlin),2026-08-04T00:45:00+02:00,2026-08-04T00:45:00+02:00,0.0
alexanderplatz,S5,suburban,S Hoppegarten,2026-08-04T00:47:00+02:00,2026-08-04T00:47:00+02:00,0.0
alexanderplatz,M6,tram,Betriebshof Marzahn,2026-08-04T00:47:00+02:00,2026-08-04T00:47:00+02:00,0.0
alexanderplatz,U5,subway,Biesdorf-Süd,2026-08-04T00:47:00+02:00,2026-08-04T00:47:00+02:00,0.0
alexanderplatz,S5,suburban,S Westkreuz (Berlin),2026-08-04T00:48:00+02:00,2026-08-04T00:48:00+02:00,0.0
alexanderplatz,U8,subway,Wittenau,2026-08-04T00:48:00+02:00,2026-08-04T00:48:00+02:00,0.0
alexanderplatz,N2,bus,U Ruhleben,2026-08-04T00:45:00+02:00,2026-08-04T00:49:00+02:00,240.0
